client_id,advisor_id,advisor_name,team,region,client_segment,age_band,household_income_band,risk_tolerance,client_status,latest_assets,last_contact_date,last_meeting_date,days_since_last_contact,trailing_3_month_net_flows,at_risk_flag
1,24,Advisor 24,Retirement Specialists,Southeast,Mass Affluent,Under 35,$350K+,Moderate,Active,705039.62,2025-08-14,2025-08-14,109,-2187.8000000000006,1
2,8,Advisor 08,Acquisition,West,Core,Under 35,$100K-$199K,Moderate,Active,236942.09,2024-09-09,2024-09-09,448,-382.87999999999965,1
3,9,Advisor 09,Retirement Specialists,Southeast,Emerging,35-44,Under $100K,Growth,Active,61700.32,2025-03-28,,248,2769.1,1
4,8,Advisor 08,Acquisition,West,Emerging,45-54,$200K-$349K,Growth,Active,36988.31,2025-05-29,2025-05-29,186,782.94,1
5,7,Advisor 07,Retirement Specialists,Midwest,Emerging,55-64,$350K+,Growth,Active,89213.02,2025-10-25,,37,3519.52,0
6,18,Advisor 18,Retirement Specialists,West,Mass Affluent,55-64,$200K-$349K,Moderate,Active,404151.77,2025-05-23,2025-05-23,192,36745.56,1
7,1,Advisor 01,Acquisition,Midwest,Core,45-54,$200K-$349K,Growth,Active,347715.33,2024-06-17,,532,15737.39,1
8,10,Advisor 10,Retirement Specialists,Northeast,Core,65+,$200K-$349K,Moderate,Active,384263.51,2024-12-06,,360,6739.47,1
9,2,Advisor 02,Acquisition,West,Core,55-64,$350K+,Moderate,Active,229913.06,2024-03-03,,638,1654.5100000000002,1
10,14,Advisor 14,Relationship Growth,Midwest,Core,45-54,Under $100K,Moderate,Active,287302.19,2024-10-26,2024-10-23,401,5065.89,1
11,3,Advisor 03,Acquisition,Southeast,Mass Affluent,55-64,$100K-$199K,Growth,Active,691440.0700000001,2025-06-26,,158,21692.65,1
12,19,Advisor 19,Relationship Growth,West,Mass Affluent,65+,$100K-$199K,Moderate,Active,406197.05,2025-11-28,2025-11-28,3,16824.78,0
13,20,Advisor 20,Relationship Growth,Southeast,Mass Affluent,55-64,$200K-$349K,Moderate,Active,540349.01,2024-06-22,,527,36860.740000000005,1
14,10,Advisor 10,Retirement Specialists,Northeast,Emerging,45-54,$200K-$349K,Moderate,Active,81559.01999999999,2025-02-16,2025-02-16,288,2061.56,1
15,9,Advisor 09,Retirement Specialists,Southeast,Mass Affluent,45-54,Under $100K,Conservative,Active,1184197.4300000002,2024-02-13,,657,57910.49,1
16,23,Advisor 23,Retirement Specialists,Northeast,Emerging,45-54,$100K-$199K,Moderate,Active,51831.09,2024-03-15,,626,2043.08,1
17,10,Advisor 10,Retirement Specialists,Northeast,Mass Affluent,45-54,$350K+,Growth,Active,837435.16,2025-07-23,2025-07-23,131,9833.489999999998,1
18,4,Advisor 04,Relationship Growth,West,Mass Affluent,35-44,$100K-$199K,Growth,Active,358024.71,,,,-4463.139999999999,1
19,10,Advisor 10,Retirement Specialists,Northeast,High Value,55-64,$200K-$349K,Conservative,Active,1338480.25,2024-02-26,2024-02-26,644,95993.38,1
20,8,Advisor 08,Acquisition,West,Core,55-64,$200K-$349K,Conservative,Active,143323.86,2024-09-20,2024-09-20,437,5296.02,1
21,1,Advisor 01,Acquisition,Midwest,Core,55-64,$100K-$199K,Moderate,Active,95456.01999999999,2025-03-18,2025-03-16,258,2417.2599999999998,1
22,12,Advisor 12,Retirement Specialists,Northeast,High Value,55-64,$200K-$349K,Conservative,Active,2765079.9,2024-03-30,2024-03-30,611,227002.24,1
23,20,Advisor 20,Relationship Growth,Southeast,Core,65+,$350K+,Moderate,Active,169432.33000000002,2025-10-26,2025-10-26,36,3142.35,0
24,21,Advisor 21,High Value,West,Core,35-44,$200K-$349K,Moderate,Active,210602.99,2024-08-08,2024-08-08,480,-1445.8299999999997,1
25,21,Advisor 21,High Value,West,Mass Affluent,45-54,$200K-$349K,Growth,Active,1136137.33,2024-06-01,2024-06-01,548,43727.530000000006,1
26,3,Advisor 03,Acquisition,Southeast,Core,Under 35,Under $100K,Aggressive,Active,225662.47999999998,2024-02-04,,666,17244.64,1
27,11,Advisor 11,High Value,Midwest,Emerging,55-64,Under $100K,Conservative,Active,55587.16,2024-06-28,2024-06-28,521,2487.14,1
28,22,Advisor 22,Acquisition,Northeast,Emerging,Under 35,$200K-$349K,Moderate,Active,46807.69,2024-11-08,2024-11-08,388,1321.49,1
29,13,Advisor 13,Relationship Growth,Southeast,Core,45-54,$100K-$199K,Moderate,Active,126514.51999999999,2025-11-30,,1,4454.58,0
30,14,Advisor 14,Relationship Growth,Midwest,Mass Affluent,35-44,$200K-$349K,Growth,Active,334805.79,2025-10-06,2025-10-06,56,-8102.51,1
31,22,Advisor 22,Acquisition,Northeast,Core,45-54,$100K-$199K,Moderate,Active,262311.35,2024-02-02,2024-01-28,668,529.5999999999999,1
32,3,Advisor 03,Acquisition,Southeast,Emerging,Under 35,$200K-$349K,Moderate,Active,80702.53,2024-05-24,,556,1706.3400000000001,1
33,16,Advisor 16,Retirement Specialists,Southeast,Emerging,55-64,$200K-$349K,Conservative,Active,77258.71,2025-06-07,,177,3627.48,1
34,4,Advisor 04,Relationship Growth,West,High Value,55-64,$100K-$199K,Growth,Active,2832533.13,2025-03-18,2025-03-06,258,-26026.289999999997,1
35,17,Advisor 17,High Value,Southeast,Core,55-64,$100K-$199K,Growth,Active,396224.9,2024-06-19,,530,32509.37,1
36,23,Advisor 23,Retirement Specialists,Northeast,Emerging,55-64,$100K-$199K,Aggressive,Active,46533.81,2024-04-17,2024-04-17,593,1800.71,1
37,3,Advisor 03,Acquisition,Southeast,High Value,45-54,$100K-$199K,Conservative,Active,3010316.48,2024-10-27,2024-10-27,400,156859.52000000002,1
38,9,Advisor 09,Retirement Specialists,Southeast,Core,55-64,$200K-$349K,Growth,Active,180431.95,2025-08-01,2025-08-01,122,11831.77,1
39,22,Advisor 22,Acquisition,Northeast,Emerging,45-54,Under $100K,Moderate,Active,76547.42,2024-07-24,2024-07-24,495,4367.3,1
40,20,Advisor 20,Relationship Growth,Southeast,Core,35-44,$100K-$199K,Moderate,Active,158010.7,2024-07-02,2024-07-02,517,5971.41,1
41,17,Advisor 17,High Value,Southeast,Mass Affluent,35-44,$350K+,Moderate,Active,556942.1,2025-11-25,2025-11-25,6,15437.57,0
42,8,Advisor 08,Acquisition,West,Mass Affluent,45-54,$100K-$199K,Moderate,Active,508114.96,2025-04-01,,244,34451.47,1
43,6,Advisor 06,Retirement Specialists,Northeast,High Value,65+,$350K+,Moderate,Active,1576724.95,2025-02-22,,282,167090.44,1
44,13,Advisor 13,Relationship Growth,Southeast,Mass Affluent,45-54,$100K-$199K,Growth,Active,434725.87,2025-01-02,2025-01-02,333,19908.48,1
45,8,Advisor 08,Acquisition,West,Emerging,35-44,$200K-$349K,Moderate,Active,0,2025-11-30,2025-11-30,1,0,0
46,5,Advisor 05,Relationship Growth,West,Core,55-64,Under $100K,Moderate,Active,0,2026-01-10,2026-01-10,-40,0,0
47,22,Advisor 22,Acquisition,Northeast,Mass Affluent,65+,$200K-$349K,Aggressive,Active,1088783.96,2024-07-31,2024-07-31,488,42368.08,1
48,21,Advisor 21,High Value,West,Core,45-54,Under $100K,Conservative,Active,203944.32,2025-12-06,2025-11-29,-5,-4240.59,1
49,2,Advisor 02,Acquisition,West,Emerging,35-44,Under $100K,Moderate,Active,104678.13,,,,-1097.0699999999997,1
50,13,Advisor 13,Relationship Growth,Southeast,Emerging,55-64,Under $100K,Moderate,Active,103269.04,2025-02-21,2025-02-21,283,-2255.5099999999998,1
51,21,Advisor 21,High Value,West,Emerging,35-44,$200K-$349K,Aggressive,Active,43101.850000000006,2025-05-21,2025-05-21,194,1034.23,1
52,15,Advisor 15,Acquisition,Midwest,Emerging,55-64,$200K-$349K,Moderate,Active,60684.27,2024-04-08,,602,-692.0799999999999,1
53,6,Advisor 06,Retirement Specialists,Northeast,Core,55-64,$350K+,Conservative,Active,175107.53,2025-02-17,2025-02-16,287,1646.19,1
54,12,Advisor 12,Retirement Specialists,Northeast,Emerging,35-44,$200K-$349K,Moderate,Active,36369.619999999995,2024-11-11,2024-11-11,385,1018.95,1
55,14,Advisor 14,Relationship Growth,Midwest,Emerging,45-54,Under $100K,Growth,Active,83141.27,2025-08-30,,93,142.83999999999992,0
56,24,Advisor 24,Retirement Specialists,Southeast,Emerging,65+,$200K-$349K,Growth,Active,30737.309999999998,2025-08-04,2025-07-29,119,1390.48,0
57,5,Advisor 05,Relationship Growth,West,High Value,55-64,$200K-$349K,Moderate,Active,3445898.0,2024-04-28,,582,359880.91000000003,1
58,24,Advisor 24,Retirement Specialists,Southeast,High Value,35-44,$100K-$199K,Growth,Active,2717297.9299999997,2024-04-10,2024-04-03,600,59966.22,1
59,17,Advisor 17,High Value,Southeast,Core,35-44,Under $100K,Growth,Active,177512.5,2024-02-14,2024-02-14,656,5012.0,1
60,24,Advisor 24,Retirement Specialists,Southeast,Core,45-54,$100K-$199K,Moderate,Active,256091.16,2025-06-13,2025-06-12,171,5564.36,1
61,10,Advisor 10,Retirement Specialists,Northeast,High Value,55-64,$100K-$199K,Conservative,Active,3478758.52,2024-03-21,,620,41900.399999999994,1
62,21,Advisor 21,High Value,West,Mass Affluent,35-44,$100K-$199K,Moderate,Active,550130.28,2024-09-06,2024-09-06,451,24983.35,1
63,19,Advisor 19,Relationship Growth,West,Emerging,55-64,$100K-$199K,Conservative,Active,80411.32,2025-11-26,2025-11-10,5,58.04,0
64,3,Advisor 03,Acquisition,Southeast,Emerging,35-44,$100K-$199K,Moderate,Active,103329.44,2025-07-27,2025-07-27,127,10007.24,1
65,22,Advisor 22,Acquisition,Northeast,Emerging,65+,$100K-$199K,Moderate,Active,71752.41,2024-11-02,2024-10-19,394,2126.0499999999997,1
66,24,Advisor 24,Retirement Specialists,Southeast,High Value,45-54,Under $100K,Aggressive,Active,2589603.89,2024-08-21,2024-08-21,467,211171.58000000002,1
67,24,Advisor 24,Retirement Specialists,Southeast,Emerging,35-44,$350K+,Moderate,Active,77266.06,2025-03-07,2025-03-04,269,1844.81,1
68,24,Advisor 24,Retirement Specialists,Southeast,Core,55-64,$100K-$199K,Moderate,Active,527122.07,2024-06-13,2024-06-13,536,22255.899999999998,1
69,22,Advisor 22,Acquisition,Northeast,Mass Affluent,55-64,$100K-$199K,Growth,Active,388239.49,2025-09-24,2025-09-24,68,-132.02000000000044,1
70,23,Advisor 23,Retirement Specialists,Northeast,Emerging,35-44,$350K+,Moderate,Active,117871.95999999999,2024-12-09,2024-12-09,357,5220.41,1
71,1,Advisor 01,Acquisition,Midwest,Emerging,Under 35,$100K-$199K,Aggressive,Active,65971.69,2025-08-23,2025-08-23,100,5124.82,0
72,22,Advisor 22,Acquisition,Northeast,Core,35-44,$100K-$199K,Aggressive,Active,215181.84,2024-03-11,2024-03-11,630,-2170.9300000000003,1
73,22,Advisor 22,Acquisition,Northeast,Emerging,55-64,$200K-$349K,Growth,Active,68065.28,2025-10-04,2025-10-04,58,2273.72,0
74,5,Advisor 05,Relationship Growth,West,High Value,65+,$100K-$199K,Aggressive,Active,1544576.5299999998,2025-02-24,,280,31031.16,1
75,22,Advisor 22,Acquisition,Northeast,Core,35-44,$100K-$199K,Growth,Active,113846.46,2025-08-09,,114,1099.4000000000003,0
76,5,Advisor 05,Relationship Growth,West,Core,35-44,$100K-$199K,Moderate,Active,201411.9,2025-05-18,2025-05-18,197,-5088.7300000000005,1
77,7,Advisor 07,Retirement Specialists,Midwest,Core,65+,$100K-$199K,Moderate,Active,400179.02,2024-02-05,2024-02-05,665,34986.96,1
78,12,Advisor 12,Retirement Specialists,Northeast,Emerging,55-64,Under $100K,Moderate,Active,54703.39,2025-11-13,,18,-38.94999999999993,1
79,6,Advisor 06,Retirement Specialists,Northeast,Emerging,45-54,$100K-$199K,Moderate,Active,90970.94,2024-03-19,,622,4697.51,1
80,7,Advisor 07,Retirement Specialists,Midwest,Emerging,45-54,$350K+,Moderate,Active,108163.16,2024-08-02,2024-08-01,486,-1.1600000000000819,1
81,15,Advisor 15,Acquisition,Midwest,Mass Affluent,Under 35,$100K-$199K,Conservative,Active,326696.18,2024-07-13,2024-07-13,506,11705.15,1
82,2,Advisor 02,Acquisition,West,Emerging,45-54,$100K-$199K,Conservative,Active,162218.61,2024-05-04,,576,4220.34,1
83,19,Advisor 19,Relationship Growth,West,Mass Affluent,45-54,$100K-$199K,Moderate,Active,505958.33,2025-11-18,2025-11-18,13,-12683.96,1
84,8,Advisor 08,Acquisition,West,Core,Under 35,$100K-$199K,Moderate,Active,150471.96,2024-06-24,,525,2955.6499999999996,1
85,10,Advisor 10,Retirement Specialists,Northeast,Mass Affluent,55-64,$100K-$199K,Moderate,Active,609687.5,2024-08-09,,479,36107.07,1
86,19,Advisor 19,Relationship Growth,West,Emerging,55-64,$100K-$199K,Moderate,Active,96025.87,2024-06-21,2024-06-21,528,4060.91,1
87,17,Advisor 17,High Value,Southeast,Mass Affluent,45-54,$350K+,Moderate,Active,332226.01,2025-02-28,,276,24504.77,1
88,24,Advisor 24,Retirement Specialists,Southeast,Emerging,45-54,$350K+,Moderate,Active,55779.37,2025-02-09,,295,1357.6,1
89,17,Advisor 17,High Value,Southeast,High Value,35-44,$200K-$349K,Moderate,Active,3206598.8,2025-10-06,2025-10-06,56,212248.16,0
90,16,Advisor 16,Retirement Specialists,Southeast,Core,65+,$200K-$349K,Growth,Active,174702.7,2024-06-07,,542,-1729.21,1
91,12,Advisor 12,Retirement Specialists,Northeast,Emerging,Under 35,$350K+,Growth,Active,107370.07,2024-09-10,2024-09-10,447,4673.47,1
92,22,Advisor 22,Acquisition,Northeast,Core,55-64,$100K-$199K,Moderate,Active,150673.54,2025-01-14,2025-01-14,321,15451.09,1
93,21,Advisor 21,High Value,West,Core,65+,$100K-$199K,Moderate,Active,138406.40000000002,2025-08-01,,122,2432.08,1
94,15,Advisor 15,Acquisition,Midwest,High Value,45-54,$100K-$199K,Moderate,Active,1661496.44,2025-04-20,,225,171261.4,1
95,9,Advisor 09,Retirement Specialists,Southeast,Core,45-54,$350K+,Growth,Active,148911.18,2025-12-02,,-1,-1154.67,1
96,22,Advisor 22,Acquisition,Northeast,Core,65+,$100K-$199K,Moderate,Active,293035.53,2024-05-29,2024-05-29,551,5717.290000000001,1
97,17,Advisor 17,High Value,Southeast,Emerging,55-64,Under $100K,Moderate,Active,85557.69,2024-02-27,2024-02-27,643,2253.72,1
98,8,Advisor 08,Acquisition,West,Emerging,65+,$200K-$349K,Conservative,Active,90053.96,2025-07-03,,151,-2533.2799999999997,1
99,13,Advisor 13,Relationship Growth,Southeast,High Value,65+,$200K-$349K,Conservative,Active,2772728.98,2025-11-27,2025-11-12,4,44595.63,0
100,15,Advisor 15,Acquisition,Midwest,Emerging,65+,$200K-$349K,Moderate,Active,70827.57,2024-12-02,,364,733.48,1
101,24,Advisor 24,Retirement Specialists,Southeast,Core,35-44,$200K-$349K,Growth,Active,0,2026-01-30,2026-01-30,-60,0,0
102,3,Advisor 03,Acquisition,Southeast,Mass Affluent,55-64,Under $100K,Growth,Active,1118358.85,2024-02-05,,665,-2407.8799999999997,1
103,24,Advisor 24,Retirement Specialists,Southeast,High Value,35-44,$100K-$199K,Moderate,Active,4131799.14,2024-07-15,,504,200828.84,1
104,10,Advisor 10,Retirement Specialists,Northeast,Core,45-54,$100K-$199K,Growth,Active,335909.34,2025-02-11,2025-02-11,293,19234.649999999998,1
105,11,Advisor 11,High Value,Midwest,Mass Affluent,65+,$100K-$199K,Moderate,Active,1139366.9,2025-05-20,,195,65284.689999999995,1
106,24,Advisor 24,Retirement Specialists,Southeast,Emerging,Under 35,$350K+,Growth,Active,73958.83,2024-12-16,2024-12-09,350,333.75,1
107,20,Advisor 20,Relationship Growth,Southeast,High Value,55-64,$200K-$349K,Moderate,Active,2971830.08,2025-07-07,,147,168768.38999999998,1
108,11,Advisor 11,High Value,Midwest,Core,65+,$100K-$199K,Moderate,Active,0,2026-01-16,,-46,0,0
109,24,Advisor 24,Retirement Specialists,Southeast,Core,45-54,$100K-$199K,Aggressive,Active,274390.05,2024-06-05,2024-06-05,544,15786.609999999999,1
110,19,Advisor 19,Relationship Growth,West,Core,65+,$100K-$199K,Growth,Active,141650.12,2025-07-27,,127,10893.0,1
111,22,Advisor 22,Acquisition,Northeast,Emerging,65+,$100K-$199K,Moderate,Active,23178.19,2025-06-27,2025-06-13,157,26.410000000000025,1
112,12,Advisor 12,Retirement Specialists,Northeast,Emerging,Under 35,$200K-$349K,Moderate,Active,42260.92,2024-02-28,,642,517.46,1
113,2,Advisor 02,Acquisition,West,Emerging,65+,$100K-$199K,Moderate,Active,44524.82,2025-12-03,2025-12-03,-2,-628.88,1
114,3,Advisor 03,Acquisition,Southeast,High Value,Under 35,$350K+,Moderate,Active,2957011.17,2025-02-03,2025-01-26,301,156286.7,1
115,4,Advisor 04,Relationship Growth,West,Mass Affluent,65+,$100K-$199K,Growth,Active,335229.07,2024-09-06,,451,13620.28,1
116,22,Advisor 22,Acquisition,Northeast,Mass Affluent,45-54,$100K-$199K,Moderate,Active,635369.0,2025-10-03,2025-10-03,59,7210.28,0
117,5,Advisor 05,Relationship Growth,West,Emerging,45-54,$100K-$199K,Moderate,Active,168473.53,2024-11-01,2024-10-25,395,11275.18,1
118,11,Advisor 11,High Value,Midwest,Core,45-54,Under $100K,Moderate,Active,0,2026-01-04,,-34,0,0
119,19,Advisor 19,Relationship Growth,West,Core,55-64,$100K-$199K,Conservative,Active,308136.64,2024-02-11,,659,14232.21,1
120,24,Advisor 24,Retirement Specialists,Southeast,Emerging,35-44,$200K-$349K,Moderate,Active,143445.51,2025-02-15,,289,-1095.4300000000003,1
121,1,Advisor 01,Acquisition,Midwest,Emerging,Under 35,Under $100K,Growth,Active,46806.49,2024-07-10,2024-07-04,509,2504.6099999999997,1
122,8,Advisor 08,Acquisition,West,Emerging,65+,$100K-$199K,Growth,Active,61670.73,2025-10-04,2025-09-25,58,3832.64,0
123,19,Advisor 19,Relationship Growth,West,Core,65+,$100K-$199K,Moderate,Active,355369.36,2024-06-10,,539,-3763.16,1
124,21,Advisor 21,High Value,West,Emerging,35-44,Under $100K,Growth,Active,30569.14,2025-05-24,2025-05-24,191,-129.02000000000004,1
125,13,Advisor 13,Relationship Growth,Southeast,High Value,35-44,Under $100K,Moderate,Active,2090296.69,2024-09-02,2024-09-02,455,37838.94,1
126,8,Advisor 08,Acquisition,West,Mass Affluent,Under 35,$100K-$199K,Moderate,Active,1132871.65,2025-02-22,2025-02-22,282,13681.409999999996,1
127,6,Advisor 06,Retirement Specialists,Northeast,Core,45-54,$100K-$199K,Conservative,Active,387929.92,,,,19252.64,1
128,10,Advisor 10,Retirement Specialists,Northeast,Core,45-54,Under $100K,Growth,Active,152774.79,2024-05-24,2024-05-24,556,1577.79,1
129,13,Advisor 13,Relationship Growth,Southeast,Core,45-54,Under $100K,Aggressive,Active,131938.91,2025-09-13,2025-09-11,79,4161.4400000000005,0
130,9,Advisor 09,Retirement Specialists,Southeast,Emerging,45-54,$100K-$199K,Moderate,Active,78268.35,2025-03-13,2025-03-13,263,-1929.78,1
131,5,Advisor 05,Relationship Growth,West,High Value,45-54,Under $100K,Conservative,Active,0,2025-12-29,,-28,0,1
132,23,Advisor 23,Retirement Specialists,Northeast,Emerging,55-64,$100K-$199K,Moderate,Active,61202.24,2025-03-11,,265,1328.61,1
133,15,Advisor 15,Acquisition,Midwest,Mass Affluent,55-64,$200K-$349K,Growth,Active,0,2025-11-29,2025-11-29,2,0,0
134,1,Advisor 01,Acquisition,Midwest,Emerging,45-54,Under $100K,Conservative,Active,0,2025-12-31,,-30,0,0
135,2,Advisor 02,Acquisition,West,Mass Affluent,45-54,$100K-$199K,Growth,Active,0,2025-11-21,2025-11-21,10,0,0
136,17,Advisor 17,High Value,Southeast,Core,45-54,Under $100K,Moderate,Active,246889.13,2025-11-25,2025-11-25,6,-4269.37,1
137,17,Advisor 17,High Value,Southeast,Core,55-64,$200K-$349K,Conservative,Active,197901.77,2024-06-24,2024-06-24,525,870.4100000000004,1
138,8,Advisor 08,Acquisition,West,Core,55-64,$350K+,Conservative,Active,176179.2,2025-12-02,,-1,5721.29,0
139,14,Advisor 14,Relationship Growth,Midwest,High Value,55-64,$100K-$199K,Moderate,Active,2354671.65,2025-07-31,2025-07-31,123,210651.36,1
140,8,Advisor 08,Acquisition,West,Emerging,Under 35,$350K+,Growth,Active,48352.41,2025-03-13,2025-03-13,263,1835.61,1
141,8,Advisor 08,Acquisition,West,Core,45-54,$100K-$199K,Aggressive,Active,285225.45,2024-06-21,2024-06-21,528,10595.49,1
